currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision,provision_Contra Frente ,provision_Contrafrente ,provision_Frente ,provision_Interno ,provision_Lateral ,condition_ ,condition_A Refaccionar ,condition_Bueno ,condition_Excelente ,condition_Muy Bueno ,condition_Regular 
USD,125.000,$,3.2,Fitz Roy y Soler 7º,42,Monoambiente,A,1,1,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,130.000,$,7.5,Julian Alvarez  2400,35,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,79.000,$,7.7,ARAOZ 1600,34,1,10000,1,2,0,Muy Bueno ,Lateral ,0,0,0,0,1,0,0,0,0,1,0
USD,348.000,$,72.543,Coronel Diaz 2200,130,3,10000,2,4,1,Muy Bueno ,Frente ,0,0,1,0,0,0,0,0,0,1,0
USD,170.000,$,26.0,"Jeronimo Salguero 2600, Piso 3",77,2,10000,2,3,0,Excelente ,Contra Frente ,1,0,0,0,0,0,0,0,1,0,0
USD,178.000,$,10.0,"Guatemala 4900, Piso 1",52,2,10000,1,3,1,Bueno ,Frente ,0,0,1,0,0,0,0,1,0,0,0
USD,110.000,$,11.8,"Scalabrini Ortiz  3000, Piso 4",31,Monoambiente,10000,1,1,0,Excelente ,Contra Frente ,1,0,0,0,0,0,0,0,1,0,0
USD,265.000,$,40.0,BULNES 1800,153,3,10000,1,4,0,Bueno ,Frente ,0,0,1,0,0,0,0,1,0,0,0
USD,189.900,$,50.5,"Avenida Santa Fé  3300, Piso 4",89,2,10000,2,3,1,Bueno ,Contrafrente ,0,1,0,0,0,0,0,1,0,0,0
USD,230.000,$,17.0,"Scalabrini Ortiz  2800 1°  2800, Piso 1",94,3,40,2,4,0,Bueno ,Contrafrente ,0,1,0,0,0,0,0,1,0,0,0
USD,170.000,$,7.0,"Bulnes 1900, Piso 2",48,1,10000,2,2,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,68.000,$,5.5,"Virasoro (entre Charcas Y Guemes) 2300, Piso 1",34,1,10000,1,2,0,Muy Bueno ,Lateral ,0,0,0,0,1,0,0,0,0,1,0
USD,129.000,$,23.0,"Tte B Matienzo 1700, Piso 2",61,2,10000,1,3,0,Muy Bueno ,Frente ,0,0,1,0,0,0,0,0,0,1,0
USD,129.000,$,14.0,Angel J Carranza 2300,49,1,10000,1,2,0,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,159.000,$,32.0,Av. Dorrego  2700,86,3,10000,2,4,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,560.000,$,32.0,Gelly 3400,173,3,10000,2,5,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,190.000,$,10.0,"Gorriti   3800 6°  3800, Piso 6",66,3,30,1,4,0,Muy Bueno ,Frente ,0,0,1,0,0,0,0,0,0,1,0
USD,208.000,$,22.0,Raúl Scalabrini Ortiz 3000,89,3,10000,1,4,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,89.000,$,32.0,Armenia al 2300,32,Monoambiente,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
